"","start","stop","width","varname"
"1",1,1,1,"V_1"
"2",2,2,1,"V_2"
"3",3,8,6,"V_3.8"
"4",9,13,5,"V_9.13"
"5",14,18,5,"V_14.18"
"6",19,24,6,"V_19.24"
"7",25,25,1,"V_25"
"8",26,26,1,"V_26"
"9",27,27,1,"V_27"
"10",28,28,1,"V_28"
"12",29,30,2,"V_29.30"
"13",31,31,1,"V_31"
"14",32,33,2,"V_32.33"
"15",34,34,1,"V_34"
"16",35,35,1,"V_35"
"18",36,37,2,"V_36.37"
"19",38,38,1,"V_38"
"20",39,39,1,"V_39"
"21",40,40,1,"V_40"
"22",41,41,1,"V_41"
"23",42,42,1,"V_42"
"25",43,43,1,"V_43"
"26",44,44,1,"V_44"
"27",45,45,1,"V_45"
"28",46,46,1,"V_46"
"29",47,47,1,"V_47"
"31",48,49,2,"V_48.49"
"32",50,53,4,"V_50.53"
"34",54,54,1,"V_54"
"35",55,56,2,"V_55.56"
"36",57,58,2,"V_57.58"
"37",59,60,2,"V_59.60"
"39",61,62,2,"V_61.62"
"40",63,63,1,"V_63"
"41",64,65,2,"V_64.65"
"42",66,69,4,"V_66.69"
"43",70,70,1,"V_70"
"44",71,72,2,"V_71.72"
"45",73,78,6,"V_73.78"
"46",79,87,9,"V_79.87"
"47",88,89,2,"V_88.89"
"48",90,90,1,"V_90"
