"","start","stop","width","varname"
"1",1,1,1,"V_1"
"2",2,2,1,"V_2"
"3",3,8,6,"V_3.8"
"4",9,13,5,"V_9.13"
"5",14,18,5,"V_14.18"
"6",19,24,6,"V_19.24"
"7",25,25,1,"V_25"
"8",26,26,1,"V_26"
"9",27,27,1,"V_27"
"10",28,28,1,"V_28"
"11",29,30,2,"V_29.30"
"12",31,31,1,"V_31"
"13",32,33,2,"V_32.33"
"14",34,34,1,"V_34"
"15",35,35,1,"V_35"
"16",36,37,2,"V_36.37"
"17",38,38,1,"V_38"
"18",39,39,1,"V_39"
"19",40,40,1,"V_40"
"20",41,41,1,"V_41"
"21",42,42,1,"V_42"
"22",43,43,1,"V_43"
"23",44,44,1,"V_44"
"24",45,45,1,"V_45"
"25",46,46,1,"V_46"
"26",47,47,1,"V_47"
"27",48,49,2,"V_48.49"
"28",50,53,4,"V_50.53"
"29",54,54,1,"V_54"
"30",55,56,2,"V_55.56"
"31",57,58,2,"V_57.58"
"32",59,60,2,"V_59.60"
"33",61,62,2,"V_61.62"
"34",63,63,1,"V_63"
"35",64,65,2,"V_64.65"
"36",66,69,4,"V_66.69"
"37",70,70,1,"V_70"
"38",71,72,2,"V_71.72"
"39",73,78,6,"V_73.78"
"40",79,87,9,"V_79.87"
"41",88,89,2,"V_88.89"
"42",90,90,1,"V_90"
"43",91,91,1,"V_91"
"44",92,92,1,"V_92"
"45",93,93,1,"V_93"
"46",94,94,1,"V_94"
"47",95,95,1,"V_95"
"48",96,96,1,"V_96"
"49",97,97,1,"V_97"
"50",98,98,1,"V_98"
"51",99,99,1,"V_99"
